Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
32	15.389085	5.8544245	29.146706	-1.8665032	10.64	5.868594	27.0	0.0	150.0	74703.0	0.07545757575757575	11.136456	1.9311421	14.7288065	-0.10695569	7.6574564	1.821419	17.863956	0.4233997	-4.0690105e-09	-0.00662455	1.2207031e-08	-0.0042483807	6.3851814	-0.7979212	6.3875985	-0.6656089	0.54075193	0.0	0.0035622835	0.018145813	0.004266669	0.004752678	-0.0034186724	0.009818025	0.44307378	0.54075193	1.0	0.0	0.0	1.5721223	0.009810279	990000	6416.137382268906
33	16.305475	5.6272655	30.487444	-1.7120934	11.03	5.9932547	34.0	0.0	150.0	76909.0	0.07540098039215687	11.403118	1.7206914	14.660187	1.3713564	7.460637	1.669001	16.904383	1.648443	4.0690105e-09	-0.0064819804	-1.1189779e-08	-0.008082554	5.703007	-0.7249217	7.111328	-0.7867613	0.6188085	0.0	0.0042195665	0.015626397	0.006866665	0.005112729	-0.0031030693	0.010780835	0.5196423	0.6188085	1.0	0.0	0.0	1.5495276	0.009822466	1020000	6610.288210868835
34	16.193205	5.554204	28.272932	-1.0094067	10.975	6.2876368	36.0	0.0	150.0	79104.0	0.07533714285714285	11.605071	1.7724551	14.826269	0.91230845	7.6220207	1.7476655	16.798098	2.0198543	-6.866455e-09	-0.0049416223	-2.0345052e-09	-0.0059864423	5.175679	-0.67398024	7.410429	-0.890862	0.5580317	0.0	0.0037099037	0.016398903	0.0065000025	0.004727631	-0.0034555069	0.011732544	0.47563514	0.5580317	1.0	0.0	1.0	1.5324073	0.006880874	1050000	6804.165088891983
35	17.045294	5.006034	27.21087	-1.4947351	10.805	6.5572076	30.0	0.0	150.0	81265.0	0.07524537037037037	11.912561	1.6414701	14.651676	2.5200272	7.6447754	1.8545487	17.308199	2.2863233	9.155274e-09	-0.0074340994	-1.1189779e-08	-0.0053345715	5.267984	-0.61178493	7.7629085	-0.78078413	0.31704348	0.0	0.0037063183	0.017648596	0.0053666686	0.0038718604	-0.0014239526	0.012248488	0.45826456	0.31704348	1.0	0.0	0.0	1.5160563	0.009774294	1080000	6997.298454046249
36	16.873781	5.24599	29.849426	-0.6845401	10.86	5.958221	30.0	0.0	150.0	83437.0	0.07516846846846847	12.117237	1.4677194	14.931726	4.801263	7.6090717	1.8756557	17.7419	1.5491748	-1.3224284e-08	-0.005848876	-1.6276042e-08	-0.00618266	5.303422	-0.6762786	7.491777	-0.9670229	0.40614402	0.0	0.0026573236	0.017829582	0.005733331	0.0036811128	-0.0039376817	0.015145049	0.3860572	0.40614402	1.0	0.0	0.0	1.4953353	0.009621293	1110000	7196.844692468643
37	17.5504	4.786098	28.832554	-0.370354	11.635	6.5522346	30.0	0.0	150.0	85764.0	0.07523157894736843	12.323215	1.5203555	14.903921	3.2305949	7.5113273	1.657179	16.76663	2.0145516	1.2715658e-08	-0.0062599853	0.0	-0.0106657455	4.55787	-0.6891668	7.6415625	-0.9161124	0.84767056	0.0	0.0047785942	0.010755637	0.010900002	0.005803309	-0.0036290213	0.012852159	0.6665489	0.84767056	1.0	0.0	0.0	1.4528506	0.009922979	1140000	7394.317857980728
38	17.711002	4.961417	29.191536	-0.6492597	11.25	6.3172383	37.0	0.0	150.0	88014.0	0.07522564102564103	12.709445	1.358207	15.148933	4.028545	7.7128987	1.7288423	18.017023	2.0101817	1.8310548e-08	-0.004635968	1.2207031e-08	-0.007161975	4.1852193	-0.45393872	7.780999	-0.94328547	0.51578766	0.0	0.0033680212	0.014429034	0.008333334	0.0038314052	-0.0024033887	0.012465422	0.4831353	0.51578766	1.0	0.0	1.0	1.4235338	0.006514007	1170000	7587.835895061493
39	17.442188	5.265557	26.728634	-1.6998287	10.705	6.2030616	32.0	0.0	150.0	90155.0	0.07512916666666666	12.857457	1.5350161	15.524132	1.2150432	7.6734524	1.8143291	18.196934	1.7324536	8.138021e-09	-0.0054710396	1.8310548e-08	-0.006635022	4.5760126	-0.53366613	7.441503	-1.0522084	0.4697029	0.0	0.0031204056	0.017883217	0.0046999995	0.003947772	-0.0029383842	0.010435643	0.41771752	0.4697029	1.0	0.0	0.0	1.4208436	0.009742647	1200000	7782.6972732543945
40	18.291122	5.367899	32.049168	4.4625673	11.6	6.836666	32.0	0.0	150.0	92475.0	0.07518292682926829	12.872219	1.4191073	15.550019	2.2514431	7.50484	1.6948646	18.526762	2.2244754	-1.0172526e-08	-0.0019580892	-4.0690105e-09	-0.01134441	5.319704	-0.67067814	8.261568	-1.09513	1.0014703	0.0	0.003199862	0.007977867	0.010666669	0.0039830706	-0.0027225558	0.00946403	0.6333186	1.0014703	1.0	0.0	0.0	1.4113946	0.009523638	1230000	7977.793205738068
41	18.271797	4.8259473	28.887623	-0.7308114	10.42	5.8235383	29.0	0.0	150.0	94559.0	0.0750468253968254	13.219404	1.4362024	16.103947	4.5389805	7.64851	1.8515923	18.523916	2.97728	4.577637e-09	-0.0067015644	-1.2207031e-08	-0.0035579836	4.998791	-0.5583229	7.546874	-1.0733523	0.33640146	0.0	0.0030993198	0.019347444	0.0028000006	0.003809474	-0.002920961	0.012014312	0.40024084	0.33640146	1.0	0.0	0.0	1.4020176	0.009615013	1260000	8171.799954414368
42	18.478407	4.638111	28.73417	1.2021146	11.0	6.2112803	33.0	0.0	150.0	96759.0	0.07500697674418605	13.20439	1.3931783	16.334816	4.8474984	7.4853926	1.5765984	18.423666	2.9284618	-1.780192e-08	-0.0049087917	-1.4241537e-08	-0.006438866	4.564533	-0.5444131	7.3123	-1.0846334	0.56647885	0.0	0.0029657935	0.015451873	0.006666667	0.0036655385	-0.0026149435	0.009772032	0.43810672	0.56647885	1.0	0.0	1.0	1.3729758	0.00699915	1290000	8365.930001020432
43	18.190454	4.739992	26.689034	-0.66720176	11.275	5.6621	29.0	0.0	150.0	99014.0	0.07501060606060606	13.323312	1.2288369	16.620556	5.861872	7.5415797	1.6961416	17.05064	2.1166668	-8.138021e-09	-0.005665367	0.0	-0.008248116	4.184285	-0.5459738	6.908596	-0.96242	0.53481495	0.0	0.0040230085	0.014282604	0.008499998	0.0044226274	-0.002247205	0.012636865	0.53072774	0.53481495	1.0	0.0	0.0	1.3650867	0.009613167	1320000	8559.892981529236
44	18.01664	4.6895423	29.945705	-0.54628164	11.535	6.784451	33.0	0.0	150.0	101321.0	0.07505259259259259	13.240853	1.3208115	16.073978	5.2764573	7.6284366	1.6081501	16.747742	3.589538	8.646647e-09	-0.0032082484	-4.0690105e-09	-0.012192615	4.373223	-0.52541447	7.6539407	-0.9797363	0.76673555	0.0	0.0027344471	0.010568333	0.010233332	0.0037199187	-0.0033078429	0.011103136	0.5086646	0.76673555	1.0	0.0	0.0	1.3702012	0.009412961	1350000	8753.585461139679
45	18.300583	5.022373	32.17389	0.17174456	10.885	5.8396726	32.0	0.0	150.0	103498.0	0.07499855072463768	13.13765	1.3183155	16.008497	5.7603397	7.6658683	1.7589817	18.476433	1.6115481	-1.2207031e-08	-0.006900048	-1.4241537e-08	-0.0065320777	4.8014684	-0.5710993	6.961255	-1.074779	0.5506483	0.0	0.003451186	0.016155727	0.0059000016	0.0040148585	-0.0022592193	0.009055032	0.46219042	0.5506483	1.0	0.0	0.0	1.3626409	0.009480298	1380000	8949.119441270828
46	18.57777	4.816185	29.403454	-0.4800156	10.445	5.556705	26.0	0.0	150.0	105587.0	0.07488439716312056	13.202684	1.4411757	16.662199	4.924268	7.3770804	1.6726949	16.5154	2.2918906	-6.1035155e-09	-0.0074711335	3.051758e-08	-0.0039963564	4.9239936	-0.65364456	6.287032	-0.9120531	0.380599	0.0	0.0031213963	0.01914743	0.0029666647	0.0038439594	-0.0027311218	0.01032301	0.40375623	0.380599	1.0	0.0	0.0	1.3264172	0.009945013	1410000	9144.323866605759
47	18.658014	4.928847	31.054153	-1.3664061	10.865	6.083319	31.0	0.0	150.0	107760.0	0.07483333333333334	13.298833	1.5587096	16.526054	5.6482205	7.297867	1.6031913	17.474783	2.9299362	-4.0690105e-09	-0.0075551653	-2.0345052e-09	-0.00559468	4.4524302	-0.6604092	7.225174	-0.91468	0.35462013	0.0	0.0037409407	0.01685072	0.005766665	0.003840917	-0.0010274666	0.01055937	0.47117385	0.35462013	1.0	0.0	0.0	1.3106894	0.009679361	1440000	9337.607406616211
